"","상호명","지점명","상권업종대분류명","상권업종중분류명","상권업종소분류명","행정동명","도로명주소","경도","위도","행정동코드"
"14517","카페미뇽",NA,"음식","커피점/카페","커피전문점/카페/다방","가양1동","서울특별시 강서구 마곡동로 62",126.833874311591,37.5605394004382,1150060300
"14518","다온카페",NA,"음식","커피점/카페","커피전문점/카페/다방","상계1동","서울특별시 노원구 동일로242길 48",127.057731463401,37.6747717408514,1135063000
"14519","베스트슬립힐링카페",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 논현로87길 25",127.034743247838,37.499306064189,1168064000
"14520","취영루",NA,"음식","커피점/카페","커피전문점/카페/다방","가양3동","서울특별시 강서구 양천로 559",126.861799100259,37.5581809080942,1150060500
"14521","아메리칸트레일러홍대타임스퀘어점","타임스퀘어점","음식","커피점/카페","커피전문점/카페/다방","서교동","서울특별시 마포구 양화로 161",126.923297793953,37.5569286733792,1144066000
"14522","황칠가힐링샵",NA,"음식","커피점/카페","커피전문점/카페/다방","사직동","서울특별시 종로구 자하문로 10",126.972652140449,37.5769931206311,1111053000
"14523","그립지카페",NA,"음식","커피점/카페","커피전문점/카페/다방","금호1가동","서울특별시 성동구 독서당로51길 15",127.026435277804,37.5494534680368,1120059000
"14524","JULENG",NA,"음식","커피점/카페","커피전문점/카페/다방","성수2가1동","서울특별시 성동구 성수이로 60-1",127.055645631105,37.5404008763754,1120067000
"14525","프롬비",NA,"음식","커피점/카페","커피전문점/카페/다방","자양3동","서울특별시 광진구 아차산로 288",127.074895965984,37.5383817201642,1121584000
"14526","카페157",NA,"음식","커피점/카페","커피전문점/카페/다방","서초3동","서울특별시 서초구 서초중앙로 157",127.011108902771,37.4982635891285,1165053000
"14527","호디박스가락점","가락점","음식","커피점/카페","커피전문점/카페/다방","가락2동","서울특별시 송파구 동남로18길 18",127.132208119462,37.494466656407,1171063200
"14528","우물가상사.커피넷,HOF이사",NA,"음식","커피점/카페","커피전문점/카페/다방","오금동","서울특별시 송파구 중대로38길 10",127.133795435294,37.5068408733989,1171057000
"14529","사랑옵다",NA,"음식","커피점/카페","커피전문점/카페/다방","개봉1동","서울특별시 구로구 경인로 290-42",126.851233962828,37.4965557437356,1153074000
"14530","올리버브라운카페","신논현점","음식","커피점/카페","커피전문점/카페/다방","논현1동","서울특별시 강남구 봉은사로1길 4",127.025326027074,37.5051216350332,1168052100
"14531","달리는커피","화곡점","음식","커피점/카페","커피전문점/카페/다방","화곡2동","서울특별시 강서구 곰달래로36길 13",126.853870474981,37.5304784665131,1150055000
